u1927,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен,1
u1823,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен,2
u1675,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен,3
u1622,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен,4
u988,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен,5
u848,Tefal_Знакомство с Компанией,0,2014.3.31,,0,не установлен,6
u673,Tefal_Знакомство с Компанией,0,2014.2.14,,0,не установлен,7
u673,Tefal_Знакомство с Компанией,0,2014.02.10,,0,не установлен,8
u427,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен,9
u405,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен,10
u1783,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен,11
u1723,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен,12
u1652,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен,13
u1628,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен,14
u1628,Tefal_Знакомство с Компанией,0,2014.2.26,,0,не установлен,15
u1628,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен,16
u1566,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен,17
u1314,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен,18
u1314,Tefal_Знакомство с Компанией,0,2014.2.26,,0,не установлен,19
u1314,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен,20
u1009,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен,21
u816,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен,22
u1981,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен,23
u1596,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен,24
u1556,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен,25
u1476,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен,26
u815,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен,27
u615,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен,28
u570,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен,29
u128,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен,30
u978,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,31
u914,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,32
u85,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,33
u449,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,34
u432,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,35
u249,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен,36
u740,Tefal_Знакомство с Компанией,0,2014.12.02,8,,не установлен,37
u1798,Tefal_Знакомство с Компанией,0,2014.5.19,8,,не установлен,38
u1717,Tefal_Знакомство с Компанией,0,2014.5.19,8,,не установлен,39
u663,Tefal_Знакомство с Компанией,0,2014.2.14,,0,u417,40
u663,Tefal_Знакомство с Компанией,0,2014.02.10,,0,u417,41
u1604,Tefal_Знакомство с Компанией,0,2014.3.31,,0,u417,42
u2080,Tefal_Знакомство с Компанией,0,2014.1.14,,0,u390,43
u1594,Tefal_Знакомство с Компанией,0,2014.1.14,,0,u390,44
u1891,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u375,45
u1699,Tefal_Знакомство с Компанией,0,2014.5.19,8,,u375,46
u1920,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u335,47
u1790,Tefal_Знакомство с Компанией,0,2014.2.24,,0,u335,48
u1790,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u335,49
u1790,Tefal_Знакомство с Компанией,0,2014.2.24,,0,u335,50
u1644,Tefal_Знакомство с Компанией,0,2014.2.14,,0,u335,51
u1644,Tefal_Знакомство с Компанией,0,2014.02.10,,0,u335,52
u920,Tefal_Знакомство с Компанией,0,2014.7.14,8,,u335,53
u211,Tefal_Знакомство с Компанией,0,2014.11.10,8,,u335,54
u1298,Tefal_Знакомство с Компанией,0,2014.5.19,8,,u335,55
u1927,Tefal: История бренда,0,2014.2.20,,0,не установлен,56
u1823,Tefal: История бренда,0,2014.2.20,,0,не установлен,57
u1675,Tefal: История бренда,0,2014.2.20,,0,не установлен,58
u1622,Tefal: История бренда,0,2014.2.20,,0,не установлен,59
u816,Tefal: История бренда,0,2014.06.08,8,,не установлен,60
u1981,Tefal: История бренда,0,2014.06.08,8,,не установлен,61
u1596,Tefal: История бренда,0,2014.06.08,8,,не установлен,62
u1556,Tefal: История бренда,0,2014.06.08,8,,не установлен,63
u1476,Tefal: История бренда,0,2014.06.08,8,,не установлен,64
u673,Tefal: История бренда,0,2014.02.12,,0,не установлен,65
u427,Tefal: История бренда,0,2014.3.19,,0,не установлен,66
u1783,Tefal: История бренда,0,2014.3.19,,0,не установлен,67
u1723,Tefal: История бренда,0,2014.3.19,,0,не установлен,68
u1628,Tefal: История бренда,0,2014.2.25,,0,не установлен,69
u1566,Tefal: История бренда,0,2014.3.19,,0,не установлен,70
